name,stock_currentprice,,
Canoo Inc. (GOEV),,,
,,,
Previous Close,0.1521,,
Open,0.15,,
Bid,0.0000 x 800,,
Ask,0.0000 x 2900,,
Day's Range,0.1409 - 0.1508,,
52 Week Range,0.1409 - 0.9600,,
Volume,"5,83,20,404",,
Avg. Volume,"5,28,15,440",,
Market Cap,161.277M,,
Beta (5Y Monthly),1.3,,
PE Ratio (TTM),N/A,,
EPS (TTM),-0.72,,
Earnings Date,"Mar 28, 2024-Apr 01, 2024",,
Forward Dividend & Yield,N/A (N/A),,
Ex-Dividend Date,N/A,,
1y Target Est,1.88,,
Symbol,Last Price,Change,% Change
FSRFisker Inc.,0.7459,-0.0448,-5.67%
"LAZRLuminar Technologies, Inc.",2.53,-0.34,-11.85%
HYLNHyliion Holdings Corp.,1.11,-0.09,-7.50%
WKHSWorkhorse Group Inc.,0.2321,-0.0238,-9.30%
BLNKBlink Charging Co.,2.68,-0.25,-8.53%
Symbol,Last Price,Change,% Change
FSRFisker Inc.,0.7459,-0.0448,-5.67%
FFIEFaraday Future Intelligent Electric Inc.,0.0724,-0.0101,-12.24%
"MULNMullen Automotive, Inc.",6.98,-0.72,-9.35%
WKHSWorkhorse Group Inc.,0.2321,-0.0238,-9.30%
"LCIDLucid Group, Inc.",3.32,-0.27,-7.52%
,Maintains,Stifel:Buy to Buy,1/23/2024
,Initiated,Wedbush:to Outperform,01-05-2024
,Maintains,HC Wainwright & Co.:Buy to Buy,11/15/2023
,Initiated,Alliance Global Partners:to Buy,8/24/2023
,Reiterates,HC Wainwright & Co.:Buy to Buy,8/15/2023
,Maintains,Stifel:Buy to Buy,6/27/2023
